"MechanisticTarget","MT_NCIm_term","asid","aid","anm","acid","acnm","aeid","aenm"
"Neurotransmission","Other Neurotransmission",5,255,"NVS_LGIC_rGlyRStrySens",441,"NVS_LGIC_rGlyRStrySens",704,"NVS_LGIC_rGlyRStrySens"
"CardioTox_CHRNA",,5,256,"NVS_LGIC_rNNR_BungSens",442,"NVS_LGIC_rNNR_BungSens",705,"NVS_LGIC_rNNR_BungSens"
"Cholesterol Transport","Cholesterol Transport",5,257,"NVS_MP_hPBR",443,"NVS_MP_hPBR",706,"NVS_MP_hPBR"
"Cholesterol Transport","Cholesterol Transport",5,258,"NVS_MP_rPBR",444,"NVS_MP_rPBR",707,"NVS_MP_rPBR"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",5,259,"NVS_NR_bER",445,"NVS_NR_bER",708,"NVS_NR_bER"
"Progesterone Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",5,260,"NVS_NR_bPR",446,"NVS_NR_bPR",709,"NVS_NR_bPR"
"Androgen Receptor Modulation","Androgen Metabolic Process",5,261,"NVS_NR_cAR",447,"NVS_NR_cAR",710,"NVS_NR_cAR"
"Androgen Receptor Modulation","Androgen Metabolic Process",5,262,"NVS_NR_hAR",448,"NVS_NR_hAR",711,"NVS_NR_hAR"
"Constitutive Androstane Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",5,263,"NVS_NR_hCAR_Agonist",449,"NVS_NR_hCAR_Agonist",712,"NVS_NR_hCAR_Agonist"
"Constitutive Androstane Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",5,264,"NVS_NR_hCAR_Antagonist",450,"NVS_NR_hCAR_Antagonist",713,"NVS_NR_hCAR_Antagonist"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",5,265,"NVS_NR_hER",451,"NVS_NR_hER",714,"NVS_NR_hER"
"Farnesoid X-activated Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",5,266,"NVS_NR_hFXR_Agonist",452,"NVS_NR_hFXR_Agonist",715,"NVS_NR_hFXR_Agonist"
"Farnesoid X-activated Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",5,267,"NVS_NR_hFXR_Antagonist",453,"NVS_NR_hFXR_Antagonist",716,"NVS_NR_hFXR_Antagonist"
"Glucocorticoid Receptor Modulation","Glucocorticoid Metabolic Process",5,268,"NVS_NR_hGR",454,"NVS_NR_hGR",717,"NVS_NR_hGR"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",5,269,"NVS_NR_hPPARa",455,"NVS_NR_hPPARa",718,"NVS_NR_hPPARa"
"CardioTox_PPARG",,5,270,"NVS_NR_hPPARg",456,"NVS_NR_hPPARg",719,"NVS_NR_hPPARg"
"Progesterone Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",5,271,"NVS_NR_hPR",457,"NVS_NR_hPR",720,"NVS_NR_hPR"
"Pregnane X Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",5,272,"NVS_NR_hPXR",458,"NVS_NR_hPXR",721,"NVS_NR_hPXR"
"Retinoic Acid Receptor Modulation","Gene Expression Regulation, Developmental Signaling",5,273,"NVS_NR_hRAR_Antagonist",459,"NVS_NR_hRAR_Antagonist",722,"NVS_NR_hRAR_Antagonist"
"Retinoic Acid Receptor Modulation","Gene Expression Regulation, Developmental Signaling",5,274,"NVS_NR_hRARa_Agonist",460,"NVS_NR_hRARa_Agonist",723,"NVS_NR_hRARa_Agonist"
"Thyroid Receptor Modulation","Thyroid Receptor Modulation",5,275,"NVS_NR_hTRa_Antagonist",461,"NVS_NR_hTRa_Antagonist",724,"NVS_NR_hTRa_Antagonist"
"CardioTox_ER Alpha",,5,276,"NVS_NR_mERa",462,"NVS_NR_mERa",725,"NVS_NR_mERa"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",5,277,"NVS_NR_rAR",463,"NVS_NR_rAR",726,"NVS_NR_rAR"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",5,278,"NVS_NR_rMR",464,"NVS_NR_rMR",727,"NVS_NR_rMR"
"Unspecified","Unannotated",5,279,"NVS_OR_gSIGMA_NonSelective",465,"NVS_OR_gSIGMA_NonSelective",728,"NVS_OR_gSIGMA_NonSelective"
"Inflammation","Inflammatory Response",5,280,"NVS_OR_hFKBP12",466,"NVS_OR_hFKBP12",729,"NVS_OR_hFKBP12"
"Dopamine Transporter Activity Modulation","Dopamine Receptor Signaling Pathway",5,281,"NVS_TR_gDAT",467,"NVS_TR_gDAT",730,"NVS_TR_gDAT"
"Unspecified","Unannotated",5,282,"NVS_TR_hAdoT",468,"NVS_TR_hAdoT",731,"NVS_TR_hAdoT"
"Dopamine Transporter Activity Modulation","Dopamine Receptor Signaling Pathway",5,283,"NVS_TR_hDAT",469,"NVS_TR_hDAT",732,"NVS_TR_hDAT"
"Norepinephrine Transporter Modulation","Norepinephrine Transport",5,284,"NVS_TR_hNET",470,"NVS_TR_hNET",733,"NVS_TR_hNET"
"Serotonin Plasma Membrane Transporter Modulation",,5,285,"NVS_TR_hSERT",471,"NVS_TR_hSERT",734,"NVS_TR_hSERT"
"Unspecified","Unannotated",5,286,"NVS_TR_rAdoT",472,"NVS_TR_rAdoT",735,"NVS_TR_rAdoT"
"CardioTox_SLC6A",,5,287,"NVS_TR_rNET",473,"NVS_TR_rNET",736,"NVS_TR_rNET"
"Serotonin Plasma Membrane Transporter Modulation",,5,288,"NVS_TR_rSERT",474,"NVS_TR_rSERT",737,"NVS_TR_rSERT"
"Neurotransmission","Other Neurotransmission",5,289,"NVS_TR_rVMAT2",475,"NVS_TR_rVMAT2",738,"NVS_TR_rVMAT2"
"Androgen Receptor Modulation","Androgen Metabolic Process",6,290,"OT_AR_ARELUC_AG_1440",476,"OT_AR_ARELUC_AG_1440",739,"OT_AR_ARELUC_AG_1440"
"Androgen Receptor Modulation","Androgen Metabolic Process",6,291,"OT_AR_ARSRC1_0480",477,"OT_AR_ARSRC1_0480",740,"OT_AR_ARSRC1_0480"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",6,292,"OT_AR_ARSRC1_0960",478,"OT_AR_ARSRC1_0960",741,"OT_AR_ARSRC1_0960"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",6,293,"OT_ER_ERaERa_0480",479,"OT_ER_ERaERa_0480",742,"OT_ER_ERaERa_0480"
"CardioTox_ER Alpha",,6,294,"OT_ER_ERaERa_1440",480,"OT_ER_ERaERa_1440",743,"OT_ER_ERaERa_1440"
"CardioTox_ER Alpha",,6,295,"OT_ER_ERaERb_0480",481,"OT_ER_ERaERb_0480",744,"OT_ER_ERaERb_0480"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",6,296,"OT_ER_ERaERb_1440",482,"OT_ER_ERaERb_1440",745,"OT_ER_ERaERb_1440"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",6,297,"OT_ER_ERbERb_0480",483,"OT_ER_ERbERb_0480",746,"OT_ER_ERbERb_0480"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",6,298,"OT_ER_ERbERb_1440",484,"OT_ER_ERbERb_1440",747,"OT_ER_ERbERb_1440"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",6,301,"OT_ERa_GFPERaERE_0120",487,"OT_ERa_GFPERaERE_0120",750,"OT_ERa_GFPERaERE_0120"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",6,302,"OT_ERa_GFPERaERE_0480",488,"OT_ERa_GFPERaERE_0480",751,"OT_ERa_GFPERaERE_0480"
"Farnesoid X-activated Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",6,304,"OT_FXR_FXRSRC1_0480",490,"OT_FXR_FXRSRC1_0480",753,"OT_FXR_FXRSRC1_0480"
"Farnesoid X-activated Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",6,305,"OT_FXR_FXRSRC1_1440",491,"OT_FXR_FXRSRC1_1440",754,"OT_FXR_FXRSRC1_1440"
"Retinoid X Receptor Modulation","Gene Expression Regulation, Developmental Signaling",6,306,"OT_NURR1_NURR1RXRa_0480",492,"OT_NURR1_NURR1RXRa_0480",755,"OT_NURR1_NURR1RXRa_0480"
"Retinoid X Receptor Modulation","Gene Expression Regulation, Developmental Signaling",6,307,"OT_NURR1_NURR1RXRa_1440",493,"OT_NURR1_NURR1RXRa_1440",756,"OT_NURR1_NURR1RXRa_1440"
"CardioTox_PPARG",,6,308,"OT_PPARg_PPARgSRC1_0480",494,"OT_PPARg_PPARgSRC1_0480",757,"OT_PPARg_PPARgSRC1_0480"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",6,309,"OT_PPARg_PPARgSRC1_1440",495,"OT_PPARg_PPARgSRC1_1440",758,"OT_PPARg_PPARgSRC1_1440"
"Malformation","Congenital Abnormality",14,428,"STM_H9_secretome",1027,"STM_H9_CystineISnorm_perc",1682,"STM_H9_CystineISnorm_perc"
"Malformation","Congenital Abnormality",14,428,"STM_H9_secretome",1030,"STM_H9_OrnithineISnorm_perc",1688,"STM_H9_OrnithineISnorm_perc"
"Cell Viability","Cell Viability Process",14,437,"STM_H9_viability",1114,"STM_H9_NormalizedViability",1858,"STM_H9_NormalizedViability"
"Aryl Hydrocarbon Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",7,328,"TOX21_AhR_LUC_Agonist",543,"TOX21_AhR_LUC_Agonist",806,"TOX21_AhR_LUC_Agonist"
"Cell Viability","Cell Viability Process",7,328,"TOX21_AhR_LUC_Agonist",544,"TOX21_AhR_LUC_Agonist_viability",807,"TOX21_AhR_LUC_Agonist_viability"
"Cell Cycle","Cell Cycle",7,452,"TOX21_AP1_BLA_Agonist",1144,"TOX21_AP1_BLA_Agonist_ratio",1846,"TOX21_AP1_BLA_Agonist_ratio"
"Cell Viability","Cell Viability Process",7,452,"TOX21_AP1_BLA_Agonist",1145,"TOX21_AP1_BLA_Agonist_viability",1847,"TOX21_AP1_BLA_Agonist_viability"
"Androgen Receptor Modulation","Androgen Metabolic Process",7,310,"TOX21_AR_BLA_Agonist",498,"TOX21_AR_BLA_Agonist_ratio",761,"TOX21_AR_BLA_Agonist_ratio"
"Androgen Receptor Modulation","Androgen Metabolic Process",7,311,"TOX21_AR_BLA_Antagonist",499,"TOX21_AR_BLA_Antagonist_ratio",762,"TOX21_AR_BLA_Antagonist_ratio"
"Cell Viability","Cell Viability Process",7,311,"TOX21_AR_BLA_Antagonist",500,"TOX21_AR_BLA_Antagonist_viability",763,"TOX21_AR_BLA_Antagonist_viability"
"Androgen Receptor Modulation","Androgen Metabolic Process",7,312,"TOX21_AR_LUC_MDAKB2_Agonist",501,"TOX21_AR_LUC_MDAKB2_Agonist",764,"TOX21_AR_LUC_MDAKB2_Agonist"
"Cell Viability","Cell Viability Process",7,443,"TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide",1127,"TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide_viability",1823,"TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide_viability"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",7,441,"TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881",1120,"TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881",1816,"TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881"
"Cell Viability","Cell Viability Process",7,441,"TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881",1121,"TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881_viability",1817,"TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881_viability"
"Androgen Receptor Modulation","Androgen Metabolic Process",7,313,"TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881",502,"TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881",765,"TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881"
"Cell Viability","Cell Viability Process",7,313,"TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881",503,"TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability",766,"TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability"
"Oxidative Stress","Oxidative Stress",7,372,"TOX21_ARE_BLA_Agonist",697,"TOX21_ARE_BLA_Agonist_ratio",1110,"TOX21_ARE_BLA_Agonist_ratio"
"Cell Viability","Cell Viability Process",7,372,"TOX21_ARE_BLA_Agonist",747,"TOX21_ARE_BLA_agonist_viability",1185,"TOX21_ARE_BLA_agonist_viability"
"Aromatase Activity Modulation","Aromatase Activity",7,314,"TOX21_Aromatase_Inhibition",504,"TOX21_Aromatase_Inhibition",767,"TOX21_Aromatase_Inhibition"
"Cell Viability","Cell Viability Process",7,314,"TOX21_Aromatase_Inhibition",505,"TOX21_Aromatase_Inhibition_viability",768,"TOX21_Aromatase_Inhibition_viability"
"Constitutive Androstane Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",7,578,"TOX21_CAR_Agonist",1929,"TOX21_CAR_Agonist",2047,"TOX21_CAR_Agonist"
"Cell Viability","Cell Viability Process",7,578,"TOX21_CAR_Agonist",1930,"TOX21_CAR_Agonist_viability",2048,"TOX21_CAR_Agonist_viability"
"Constitutive Androstane Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",7,579,"TOX21_CAR_Antagonist",1931,"TOX21_CAR_Antagonist",2049,"TOX21_CAR_Antagonist"
"Cell Viability","Cell Viability Process",7,579,"TOX21_CAR_Antagonist",1932,"TOX21_CAR_Antagonist_viability",2050,"TOX21_CAR_Antagonist_viability"
"Apoptosis","Apoptosis",7,678,"TOX21_CASP3_CHO",2375,"TOX21_CASP3_CHO",2368,"TOX21_CASP3_CHO"
"Cell Viability","Cell Viability Process",7,678,"TOX21_CASP3_CHO",2376,"TOX21_CASP3_CHO_viability",2369,"TOX21_CASP3_CHO_viability"
"Apoptosis","Apoptosis",7,672,"TOX21_CASP3_HEPG2",2373,"TOX21_CASP3_HEPG2",2366,"TOX21_CASP3_HEPG2"
"Cell Viability","Cell Viability Process",7,672,"TOX21_CASP3_HEPG2",2374,"TOX21_CASP3_HEPG2_viability",2367,"TOX21_CASP3_HEPG2_viability"
"DNA Repair",,7,382,"TOX21_DT40",721,"TOX21_DT40",1134,"TOX21_DT40"
"DNA Repair",,7,382,"TOX21_DT40",2012,"TOX21_DT40_100",2130,"TOX21_DT40_100"
"DNA Repair",,7,382,"TOX21_DT40",2013,"TOX21_DT40_657",2131,"TOX21_DT40_657"
"DNA Damage","DNA Damage",7,317,"TOX21_ELG1_LUC_Agonist",518,"TOX21_ELG1_LUC_Agonist",781,"TOX21_ELG1_LUC_Agonist"
"Cell Viability","Cell Viability Process",7,317,"TOX21_ELG1_LUC_Agonist",519,"TOX21_ELG1_LUC_Agonist_viability",782,"TOX21_ELG1_LUC_Agonist_viability"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",7,318,"TOX21_ERa_BLA_Agonist",522,"TOX21_ERa_BLA_Agonist_ratio",785,"TOX21_ERa_BLA_Agonist_ratio"
"CardioTox_ER Alpha",,7,319,"TOX21_ERa_BLA_Antagonist",523,"TOX21_ERa_BLA_Antagonist_ratio",786,"TOX21_ERa_BLA_Antagonist_ratio"
"Cell Viability","Cell Viability Process",7,319,"TOX21_ERa_BLA_Antagonist",524,"TOX21_ERa_BLA_Antagonist_viability",787,"TOX21_ERa_BLA_Antagonist_viability"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",7,320,"TOX21_ERa_LUC_VM7_Agonist",525,"TOX21_ERa_LUC_VM7_Agonist",788,"TOX21_ERa_LUC_VM7_Agonist"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",7,640,"TOX21_ERa_LUC_VM7_Agonist_10nM_ICI182780",2073,"TOX21_ERa_LUC_VM7_Agonist_10nM_ICI182780",2211,"TOX21_ERa_LUC_VM7_Agonist_10nM_ICI182780"
"Cell Viability","Cell Viability Process",7,640,"TOX21_ERa_LUC_VM7_Agonist_10nM_ICI182780",2074,"TOX21_ERa_LUC_VM7_Agonist_10nM_ICI182780_viability",2212,"TOX21_ERa_LUC_VM7_Agonist_10nM_ICI182780_viability"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",7,580,"TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2",1935,"TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2",2053,"TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2"
"Cell Viability","Cell Viability Process",7,580,"TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2",1936,"TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2_viability",2054,"TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2_viability"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",7,321,"TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2",526,"TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2",789,"TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2"
"Cell Viability","Cell Viability Process",7,321,"TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2",527,"TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2_viability",790,"TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2_viability"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",7,593,"TOX21_ERb_BLA_Agonist",2001,"TOX21_ERb_BLA_Agonist_ratio",2115,"TOX21_ERb_BLA_Agonist_ratio"
"Cell Viability","Cell Viability Process",7,593,"TOX21_ERb_BLA_Agonist",2002,"TOX21_ERb_BLA_Agonist_viability",2116,"TOX21_ERb_BLA_Agonist_viability"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",7,592,"TOX21_ERb_BLA_Antagonist",1997,"TOX21_ERb_BLA_Antagonist_ratio",2119,"TOX21_ERb_BLA_Antagonist_ratio"
"Cell Viability","Cell Viability Process",7,592,"TOX21_ERb_BLA_Antagonist",1998,"TOX21_ERb_BLA_Antagonist_viability",2120,"TOX21_ERb_BLA_Antagonist_viability"
"Estrogen-related Receptor Modulation","Estrogen Metabolic Process",7,581,"TOX21_ERR",1937,"TOX21_ERR_Agonist",2055,"TOX21_ERR_Agonist"
"Estrogen-related Receptor Modulation","Gene Expression Regulation, Other Transcription Factors",7,581,"TOX21_ERR",1939,"TOX21_ERR_Antagonist",2057,"TOX21_ERR_Antagonist"
"Cell Viability","Cell Viability Process",7,581,"TOX21_ERR",1941,"TOX21_ERR_viability",2059,"TOX21_ERR_viability"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",7,406,"TOX21_ESRE_BLA",909,"TOX21_ESRE_BLA_ratio",1342,"TOX21_ESRE_BLA_ratio"
"Cell Viability","Cell Viability Process",7,406,"TOX21_ESRE_BLA",910,"TOX21_ESRE_BLA_viability",1343,"TOX21_ESRE_BLA_viability"
"Farnesoid X-activated Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",7,375,"TOX21_FXR_BLA_Agonist",706,"TOX21_FXR_BLA_Agonist_ratio",1119,"TOX21_FXR_BLA_Agonist_ratio"
"Cell Viability","Cell Viability Process",7,375,"TOX21_FXR_BLA_Agonist",750,"TOX21_FXR_BLA_agonist_viability",1188,"TOX21_FXR_BLA_agonist_viability"
"Farnesoid X-activated Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",7,376,"TOX21_FXR_BLA_Antagonist",707,"TOX21_FXR_BLA_Antagonist_ratio",1120,"TOX21_FXR_BLA_Antagonist_ratio"
"Cell Viability","Cell Viability Process",7,376,"TOX21_FXR_BLA_Antagonist",708,"TOX21_FXR_BLA_Antagonist_viability",1121,"TOX21_FXR_BLA_Antagonist_viability"
"Glucocorticoid Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",7,322,"TOX21_GR_BLA_Agonist",530,"TOX21_GR_BLA_Agonist_ratio",793,"TOX21_GR_BLA_Agonist_ratio"
"Glucocorticoid Receptor Modulation","Glucocorticoid Metabolic Process",7,323,"TOX21_GR_BLA_Antagonist",531,"TOX21_GR_BLA_Antagonist_ratio",794,"TOX21_GR_BLA_Antagonist_ratio"
"Cell Viability","Cell Viability Process",7,323,"TOX21_GR_BLA_Antagonist",532,"TOX21_GR_BLA_Antagonist_viability",795,"TOX21_GR_BLA_Antagonist_viability"
"Histone Modification","Histone Modification",7,451,"TOX21_H2AX_HTRF_CHO_Agonist",1141,"TOX21_H2AX_HTRF_CHO_Agonist_ratio",1843,"TOX21_H2AX_HTRF_CHO_Agonist_ratio"
"Cell Viability","Cell Viability Process",7,451,"TOX21_H2AX_HTRF_CHO_Agonist",1942,"TOX21_H2AX_HTRF_CHO_viability",2060,"TOX21_H2AX_HTRF_CHO_viability"
"Histone Modification","Histone Modification",7,582,"TOX21_HDAC_Inhibition",1943,"TOX21_HDAC_Inhibition",2061,"TOX21_HDAC_Inhibition"
"Cell Viability","Cell Viability Process",7,582,"TOX21_HDAC_Inhibition",1944,"TOX21_HDAC_Inhibition_viability",2062,"TOX21_HDAC_Inhibition_viability"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",7,583,"TOX21_HRE_BLA_Agonist",1947,"TOX21_HRE_BLA_Agonist_ratio",2065,"TOX21_HRE_BLA_Agonist_ratio"
"Cell Viability","Cell Viability Process",7,583,"TOX21_HRE_BLA_Agonist",1948,"TOX21_HRE_BLA_Agonist_viability",2066,"TOX21_HRE_BLA_Agonist_viability"
"Oxidative Stress","Oxidative Stress",7,373,"TOX21_HSE_BLA_Agonist",700,"TOX21_HSE_BLA_Agonist_ratio",1113,"TOX21_HSE_BLA_Agonist_ratio"
"Cell Viability","Cell Viability Process",7,373,"TOX21_HSE_BLA_Agonist",748,"TOX21_HSE_BLA_agonist_viability",1186,"TOX21_HSE_BLA_agonist_viability"
"Unspecified","Unannotated",7,584,"TOX21_LUC_Biochem",1949,"TOX21_LUC_Biochem",2067,"TOX21_LUC_Biochem"
"CardioTox_Mt Dys",,7,324,"TOX21_MMP",534,"TOX21_MMP_ratio",1854,"TOX21_MMP_ratio"
"CardioTox_Mt Dys",,7,324,"TOX21_MMP",535,"TOX21_MMP_rhodamine",798,"TOX21_MMP_rhodamine"
"Cell Viability","Cell Viability Process",7,324,"TOX21_MMP",536,"TOX21_MMP_viability",799,"TOX21_MMP_viability"
"Inflammation","Inflammatory Response",7,407,"TOX21_NFkB_BLA_Agonist",913,"TOX21_NFkB_BLA_agonist_ratio",1346,"TOX21_NFkB_BLA_agonist_ratio"
"Cell Viability","Cell Viability Process",7,407,"TOX21_NFkB_BLA_Agonist",914,"TOX21_NFkB_BLA_agonist_viability",1347,"TOX21_NFkB_BLA_agonist_viability"
"p53 Modulation","p53 Signaling Pathway",7,374,"TOX21_p53_BLA_p1",703,"TOX21_p53_BLA_p1_ratio",1116,"TOX21_p53_BLA_p1_ratio"
"Cell Viability","Cell Viability Process",7,374,"TOX21_p53_BLA_p1",749,"TOX21_p53_BLA_p1_viability",1187,"TOX21_p53_BLA_p1_viability"
"p53 Modulation","p53 Signaling Pathway",7,402,"TOX21_p53_BLA_p2",892,"TOX21_p53_BLA_p2_ratio",1317,"TOX21_p53_BLA_p2_ratio"
"Cell Viability","Cell Viability Process",7,402,"TOX21_p53_BLA_p2",893,"TOX21_p53_BLA_p2_viability",1318,"TOX21_p53_BLA_p2_viability"
"p53 Modulation","p53 Signaling Pathway",7,403,"TOX21_p53_BLA_p3",896,"TOX21_p53_BLA_p3_ratio",1321,"TOX21_p53_BLA_p3_ratio"
"Cell Viability","Cell Viability Process",7,403,"TOX21_p53_BLA_p3",897,"TOX21_p53_BLA_p3_viability",1322,"TOX21_p53_BLA_p3_viability"
"CardioTox_TP53",,7,404,"TOX21_p53_BLA_p4",900,"TOX21_p53_BLA_p4_ratio",1325,"TOX21_p53_BLA_p4_ratio"
"Cell Viability","Cell Viability Process",7,404,"TOX21_p53_BLA_p4",901,"TOX21_p53_BLA_p4_viability",1326,"TOX21_p53_BLA_p4_viability"
"p53 Modulation","p53 Signaling Pathway",7,405,"TOX21_p53_BLA_p5",904,"TOX21_p53_BLA_p5_ratio",1329,"TOX21_p53_BLA_p5_ratio"
"Cell Viability","Cell Viability Process",7,405,"TOX21_p53_BLA_p5",905,"TOX21_p53_BLA_p5_viability",1330,"TOX21_p53_BLA_p5_viability"
"Estrogen-related Receptor Modulation","Estrogen Metabolic Process",7,585,"TOX21_PGC_ERR",1950,"TOX21_PGC_ERR_Agonist",2068,"TOX21_PGC_ERR_Agonist"
"Estrogen-related Receptor Modulation","Gene Expression Regulation, Other Transcription Factors",7,585,"TOX21_PGC_ERR",1952,"TOX21_PGC_ERR_Antagonist",2070,"TOX21_PGC_ERR_Antagonist"
"Cell Viability","Cell Viability Process",7,585,"TOX21_PGC_ERR",1954,"TOX21_PGC_ERR_viability",2072,"TOX21_PGC_ERR_viability"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",7,377,"TOX21_PPARd_BLA_Agonist",711,"TOX21_PPARd_BLA_Agonist_ratio",1124,"TOX21_PPARd_BLA_Agonist_ratio"
"Cell Viability","Cell Viability Process",7,377,"TOX21_PPARd_BLA_Agonist",757,"TOX21_PPARd_BLA_Agonist_viability",1195,"TOX21_PPARd_BLA_Agonist_viability"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",7,378,"TOX21_PPARd_BLA_Antagonist",712,"TOX21_PPARd_BLA_Antagonist_ratio",1125,"TOX21_PPARd_BLA_Antagonist_ratio"
"Cell Viability","Cell Viability Process",7,378,"TOX21_PPARd_BLA_Antagonist",713,"TOX21_PPARd_BLA_Antagonist_viability",1126,"TOX21_PPARd_BLA_Antagonist_viability"
"CardioTox_PPARG",,7,325,"TOX21_PPARg_BLA_Agonist",539,"TOX21_PPARg_BLA_Agonist_ratio",802,"TOX21_PPARg_BLA_Agonist_ratio"
"CardioTox_PPARG",,7,379,"TOX21_PPARg_BLA_Antagonist",714,"TOX21_PPARg_BLA_Antagonist_ratio",1127,"TOX21_PPARg_BLA_Antagonist_ratio"
"Cell Viability","Cell Viability Process",7,379,"TOX21_PPARg_BLA_Antagonist",715,"TOX21_PPARg_BLA_Antagonist_viability",1128,"TOX21_PPARg_BLA_Antagonist_viability"
"Progesterone Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",7,594,"TOX21_PR_BLA_Agonist",2005,"TOX21_PR_BLA_Agonist_ratio",2123,"TOX21_PR_BLA_Agonist_ratio"
"Cell Viability","Cell Viability Process",7,594,"TOX21_PR_BLA_Agonist",2006,"TOX21_PR_BLA_Agonist_viability",2124,"TOX21_PR_BLA_Agonist_viability"
"Progesterone Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",7,595,"TOX21_PR_BLA_Antagonist",2009,"TOX21_PR_BLA_Antagonist_ratio",2127,"TOX21_PR_BLA_Antagonist_ratio"
"Cell Viability","Cell Viability Process",7,595,"TOX21_PR_BLA_Antagonist",2010,"TOX21_PR_BLA_Antagonist_viability",2128,"TOX21_PR_BLA_Antagonist_viability"
"Progesterone Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",7,642,"TOX21_PR_BLA_Followup",2279,"TOX21_PR_BLA_Followup_Agonist_ratio",2218,"TOX21_PR_BLA_Followup_Agonist_ratio"
